ticket_id,opened_datetime,closed_datetime,system_name,issue_type,severity,facility_id,meter_id,reported_by_team,ticket_status,business_impact,root_cause_category,resolution_summary,related_batch_id,related_exception_code
TCK-000001,2026-04-12T07:00:00,2026-04-14T04:00:00,MeterFlow IQ,Snowstorm-style polling outage,High,FAC-007,MTR-033,Application Support,Resolved,Known scenario: Selected active meters report zero/stale readings because simulated field communication failed.,Polling/device communication outage,"Check upstream polling platform, device status, and whether corrected measurement values were posted.",BATCH-20260412-02,ZERO_VOLUME
TCK-000002,2026-04-18T03:00:00,2026-04-19T07:00:00,MeterFlow IQ,Duplicate ingestion retry,High,FAC-003,MTR-015,Commercial,Closed,Known scenario: A retry creates duplicate meter/timestamp records with different raw_reading_id values.,Retry/load logic duplicated source records,Group by meter_id and reading_timestamp; inspect batch retry history.,BATCH-20260418-00,DUPLICATE_READING
TCK-000003,2026-04-20T10:00:00,2026-04-23T03:00:00,Streamlit,Invalid meter source feed,High,FAC-005,MTR-999,Operations,Closed,Known scenario: Source feed contains meter IDs missing from meter_master.,Source-system/reference-data mismatch,Validate source meter IDs against meter_master and update mapping or reject feed.,BATCH-20260420-08,INVALID_METER
TCK-000004,2026-04-26T07:00:00,2026-04-29T03:00:00,Azure SQL,Late-arriving data after report refresh,Medium,FAC-012,MTR-057,Field Ops,Closed,Known scenario: Valid readings arrive after the normal reporting refresh window.,Timing/schedule issue,"Compare event, poll, load, and report refresh timestamps.",BATCH-20260426-00,LATE_ARRIVAL
TCK-000005,2026-05-05T10:00:00,,FlowCalSim,Stale readings from polling source,High,FAC-004,MTR-019,Commercial,Investigating,Known scenario: Meters repeat stale values and quality codes for several hours.,Polling source returned stale values,"Check tag freshness, polling logs, and communication status.",BATCH-20260505-04,STALE_READING
TCK-000006,2026-06-03T07:00:00,,MeterFlow IQ,Future production date,High,FAC-002,MTR-007,Measurement,Investigating,Known scenario: A small source batch is dated in the future.,Bad date-window/source-date logic,Reject future-dated records and review source date mapping.,BATCH-20260603-01,FUTURE_DATE
TCK-000007,2026-04-29T02:00:00,,SimulatedSCADA,Unapproved FlowCal-style records,High,FAC-009,MTR-044,Operations,Investigating,Known scenario: Measurement records are extracted before approval/close.,Measurement close process incomplete,Filter reporting to approved/closed records and check close workflow.,BATCH-20260429-00,UNAPPROVED_FLOWCAL_RECORD
TCK-000008,2026-05-10T04:00:00,2026-05-12T13:00:00,Azure SQL,FlowCal correction mismatch,High,FAC-011,MTR-053,Operations,Resolved,Known scenario: Corrected measurement volume materially differs from raw aggregate.,Measurement correction/reconciliation issue,Compare raw aggregate to measured and corrected volume by meter/date.,BATCH-20260510-00,FLOWCAL_MISMATCH
TCK-000009,2026-05-12T03:00:00,2026-05-14T13:00:00,FlowCalSim,Partial publisher load,High,FAC-015,MTR-072,Commercial,Resolved,Known scenario: Publisher step has rejected records and partial success status.,Target load rejected a subset of records,"Review publisher error rows, rejected count, and target acceptance rules.",BATCH-20260512-00,PARTIAL_LOAD
TCK-000010,2026-05-15T11:00:00,,SimulatedSCADA,Facility mapping mismatch,Medium,FAC-018,MTR-087,Measurement,Investigating,Known scenario: Source facility assignment conflicts with meter_master.,Master/reference mapping conflict,Validate meter-to-facility mapping and effective dates.,BATCH-20260515-08,FACILITY_MISMATCH
TCK-000011,2026-05-18T07:00:00,2026-05-20T23:00:00,FlowCalSim,Invalid quality code,Medium,FAC-020,MTR-097,BI Reporting,Resolved,Known scenario: Source feed contains quality codes outside accepted values.,Source/status code mapping issue,Review accepted values and source code translation table.,BATCH-20260518-06,INVALID_QUALITY_CODE
