scenario_id,scenario_name,description,affected_facility_id,affected_meter_ids,start_datetime,end_datetime,expected_exception_type,expected_root_cause,recommended_next_step
SCN-001,Snowstorm-style polling outage,Selected active meters report zero/stale readings because simulated field communication failed.,FAC-007,MTR-031;MTR-032;MTR-033;MTR-034,2026-04-12T02:00:00,2026-04-12T10:00:00,ZERO_VOLUME,Polling/device communication outage,"Check upstream polling platform, device status, and whether corrected measurement values were posted."
SCN-002,Duplicate ingestion retry,A retry creates duplicate meter/timestamp records with different raw_reading_id values.,FAC-003,MTR-011;MTR-012;MTR-013;MTR-014;MTR-015,2026-04-18T00:00:00,2026-04-18T23:00:00,DUPLICATE_READING,Retry/load logic duplicated source records,Group by meter_id and reading_timestamp; inspect batch retry history.
SCN-003,Invalid meter source feed,Source feed contains meter IDs missing from meter_master.,FAC-005,MTR-998;MTR-999,2026-04-20T08:00:00,2026-04-20T14:00:00,INVALID_METER,Source-system/reference-data mismatch,Validate source meter IDs against meter_master and update mapping or reject feed.
SCN-004,Late-arriving data after report refresh,Valid readings arrive after the normal reporting refresh window.,FAC-012,MTR-056;MTR-057;MTR-058;MTR-059,2026-04-26T00:00:00,2026-04-26T23:00:00,LATE_ARRIVAL,Timing/schedule issue,"Compare event, poll, load, and report refresh timestamps."
SCN-005,Stale readings from polling source,Meters repeat stale values and quality codes for several hours.,FAC-004,MTR-016;MTR-017;MTR-018;MTR-019,2026-05-05T04:00:00,2026-05-05T12:00:00,STALE_READING,Polling source returned stale values,"Check tag freshness, polling logs, and communication status."
SCN-006,Future production date,A small source batch is dated in the future.,FAC-002,MTR-006;MTR-007;MTR-008,2026-06-03T01:00:00,2026-06-03T04:00:00,FUTURE_DATE,Bad date-window/source-date logic,Reject future-dated records and review source date mapping.
SCN-007,Unapproved FlowCal-style records,Measurement records are extracted before approval/close.,FAC-009,MTR-041;MTR-042;MTR-043;MTR-044;MTR-045,2026-04-29T00:00:00,2026-04-30T23:00:00,UNAPPROVED_FLOWCAL_RECORD,Measurement close process incomplete,Filter reporting to approved/closed records and check close workflow.
SCN-008,FlowCal correction mismatch,Corrected measurement volume materially differs from raw aggregate.,FAC-011,MTR-051;MTR-052;MTR-053;MTR-054,2026-05-10T00:00:00,2026-05-10T23:00:00,FLOWCAL_MISMATCH,Measurement correction/reconciliation issue,Compare raw aggregate to measured and corrected volume by meter/date.
SCN-009,Partial publisher load,Publisher step has rejected records and partial success status.,FAC-015,MTR-071;MTR-072;MTR-073,2026-05-12T00:00:00,2026-05-12T23:00:00,PARTIAL_LOAD,Target load rejected a subset of records,"Review publisher error rows, rejected count, and target acceptance rules."
SCN-010,Facility mapping mismatch,Source facility assignment conflicts with meter_master.,FAC-018,MTR-086;MTR-087;MTR-088;MTR-089,2026-05-15T08:00:00,2026-05-15T18:00:00,FACILITY_MISMATCH,Master/reference mapping conflict,Validate meter-to-facility mapping and effective dates.
SCN-011,Invalid quality code,Source feed contains quality codes outside accepted values.,FAC-020,MTR-096;MTR-097;MTR-098;MTR-099,2026-05-18T06:00:00,2026-05-18T14:00:00,INVALID_QUALITY_CODE,Source/status code mapping issue,Review accepted values and source code translation table.
SCN-012,Inactive meter still reporting,Inactive meters continue to produce readings.,FAC-008,MTR-037;MTR-063,2026-04-22T00:00:00,2026-04-24T23:00:00,INACTIVE_METER_REPORTING,Effective-date or active flag mismatch,Confirm meter status and effective dates before including in reports.
SCN-013,Null volume batch,A small set of active meters sends null volumes.,FAC-014,MTR-066;MTR-067;MTR-068,2026-05-21T02:00:00,2026-05-21T07:00:00,NULL_VOLUME,Source feed missing measurement values,Check source payload and apply null-volume exception handling.
SCN-014,Negative volume outliers,A small number of impossible negative values appear in raw readings.,FAC-021,MTR-101;MTR-102;MTR-103,2026-05-23T10:00:00,2026-05-23T16:00:00,NEGATIVE_VOLUME,Bad sensor/source calculation,Reject negative values and review source calculation.
SCN-015,High nomination variance,Actual measured volume materially differs from nominated volume.,FAC-006,MTR-026;MTR-027;MTR-028;MTR-029;MTR-030,2026-05-26T00:00:00,2026-05-26T23:00:00,NOMINATION_VARIANCE,Business variance or data-quality impact,Compare actual vs nominated by facility/date/product and review exception impact.
